Tue May 28 16:00:16 2019    DUMP.txt

         13891224 function calls (13665156 primitive calls) in 9.882 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      481    0.025    0.000    7.325    0.015 main_v2.py:49(process_file)
      481    0.010    0.000    4.802    0.010 __init__.py:86(__init__)
      481    0.002    0.000    4.774    0.010 __init__.py:338(_feed)
      481    0.758    0.002    4.771    0.010 _lxml.py:283(feed)
   113004    0.737    0.000    2.733    0.000 _lxml.py:176(start)
     1113    0.005    0.000    2.152    0.002 element.py:1306(find_all)
     1113    0.129    0.000    2.146    0.002 element.py:592(_find_all)
      481    0.001    0.000    2.140    0.004 element.py:1042(__call__)
      481    0.440    0.001    2.114    0.004 main_v2.py:62(create_index)
   238751    0.206    0.000    1.892    0.000 element.py:1502(search)
   113004    0.208    0.000    1.766    0.000 __init__.py:512(handle_starttag)
      481    0.001    0.000    1.664    0.003 __init__.py:128(word_tokenize)
   113004    0.146    0.000    1.586    0.000 element.py:1461(search_tag)
337595/113004    0.736    0.000    1.323    0.000 element.py:1528(_matches)
   346260    0.299    0.000    1.066    0.000 __init__.py:391(endData)
      481    0.013    0.000    1.063    0.002 __init__.py:145(<listcomp>)
      478    0.008    0.000    1.050    0.002 treebank.py:117(tokenize)
   112963    0.189    0.000    1.042    0.000 _lxml.py:231(end)
    14340    1.003    0.000    1.016    0.000 {method 'sub' of 're.Pattern' objects}
   113485    0.368    0.000    0.859    0.000 element.py:818(__init__)
   240345    0.049    0.000    0.648    0.000 {built-in method builtins.next}
  3696890    0.436    0.000    0.641    0.000 {built-in method builtins.isinstance}
      481    0.002    0.000    0.599    0.001 __init__.py:94(sent_tokenize)
      481    0.001    0.000    0.557    0.001 punkt.py:1273(tokenize)
      481    0.001    0.000    0.556    0.001 punkt.py:1324(sentences_from_text)
      481    0.001    0.000    0.555    0.001 punkt.py:1331(<listcomp>)
      959    0.001    0.000    0.554    0.001 punkt.py:1313(span_tokenize)
      959    0.002    0.000    0.553    0.001 punkt.py:1348(_realign_boundaries)
      962    0.001    0.000    0.551    0.001 punkt.py:310(_pair_iter)
      962    0.547    0.001    0.550    0.001 punkt.py:1333(_slices_from_text)
   125747    0.181    0.000    0.484    0.000 __init__.py:421(object_was_parsed)
   112963    0.079    0.000    0.387    0.000 __init__.py:539(handle_endtag)
   364979    0.323    0.000    0.323    0.000 element.py:258(setup)
    76991    0.205    0.000    0.310    0.000 __init__.py:158(_replace_cdata_list_attribute_values)
   112963    0.179    0.000    0.292    0.000 __init__.py:489(_popToTag)
   125747    0.118    0.000    0.274    0.000 element.py:709(__new__)
        1    0.058    0.058    0.231    0.231 main_v2.py:83(add_tf_idf)
   452674    0.095    0.000    0.205    0.000 abc.py:137(__instancecheck__)
        1    0.008    0.008    0.184    0.184 main_v2.py:149(dump)
        2    0.175    0.088    0.175    0.088 {built-in method _pickle.dump}
   119918    0.049    0.000    0.173    0.000 main_v2.py:101(calc_tf_idf)
    69560    0.136    0.000    0.145    0.000 __init__.py:449(_linkage_fixer)
   113485    0.109    0.000    0.131    0.000 __init__.py:382(pushTag)
      481    0.002    0.000    0.131    0.000 element.py:950(get_text)
   140031    0.066    0.000    0.127    0.000 _lxml.py:252(data)
      481    0.018    0.000    0.125    0.000 element.py:955(<listcomp>)
