Tue May 28 15:58:58 2019    DUMP.txt

         32627279 function calls (32398228 primitive calls) in 15.310 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      481    0.332    0.001    8.512    0.018 main_v2.py:62(create_index)
   235064    0.840    0.000    6.640    0.000 porter.py:655(stem)
      481    0.022    0.000    6.415    0.013 main_v2.py:49(process_file)
      481    0.011    0.000    4.144    0.009 __init__.py:86(__init__)
      481    0.001    0.000    4.117    0.009 __init__.py:338(_feed)
      481    0.658    0.001    4.113    0.009 _lxml.py:283(feed)
  1344677    1.963    0.000    3.670    0.000 porter.py:249(_apply_rule_list)
   113004    0.539    0.000    2.315    0.000 _lxml.py:176(start)
222692/222373    0.565    0.000    1.961    0.000 porter.py:436(_step2)
     1113    0.003    0.000    1.940    0.002 element.py:1306(find_all)
     1113    0.114    0.000    1.937    0.002 element.py:592(_find_all)
      481    0.001    0.000    1.930    0.004 element.py:1042(__call__)
   238751    0.188    0.000    1.712    0.000 element.py:1502(search)
 13341060    1.664    0.000    1.664    0.000 {method 'endswith' of 'str' objects}
   113004    0.180    0.000    1.594    0.000 __init__.py:512(handle_starttag)
      481    0.001    0.000    1.523    0.003 __init__.py:128(word_tokenize)
   222373    0.265    0.000    1.469    0.000 porter.py:544(_step4)
   113004    0.131    0.000    1.432    0.000 element.py:1461(search_tag)
337595/113004    0.664    0.000    1.195    0.000 element.py:1528(_matches)
      481    0.010    0.000    0.990    0.002 __init__.py:145(<listcomp>)
      478    0.007    0.000    0.980    0.002 treebank.py:117(tokenize)
    14340    0.939    0.000    0.951    0.000 {method 'sub' of 're.Pattern' objects}
   346260    0.266    0.000    0.941    0.000 __init__.py:391(endData)
   112963    0.171    0.000    0.925    0.000 _lxml.py:231(end)
   113485    0.312    0.000    0.798    0.000 element.py:818(__init__)
   222373    0.188    0.000    0.633    0.000 porter.py:516(_step3)
  3696890    0.392    0.000    0.578    0.000 {built-in method builtins.isinstance}
   240345    0.044    0.000    0.577    0.000 {built-in method builtins.next}
      481    0.002    0.000    0.532    0.001 __init__.py:94(sent_tokenize)
      481    0.001    0.000    0.496    0.001 punkt.py:1273(tokenize)
      481    0.001    0.000    0.495    0.001 punkt.py:1324(sentences_from_text)
      481    0.001    0.000    0.494    0.001 punkt.py:1331(<listcomp>)
      959    0.001    0.000    0.493    0.001 punkt.py:1313(span_tokenize)
      959    0.002    0.000    0.492    0.001 punkt.py:1348(_realign_boundaries)
      962    0.001    0.000    0.491    0.001 punkt.py:310(_pair_iter)
      962    0.487    0.001    0.489    0.001 punkt.py:1333(_slices_from_text)
   222373    0.135    0.000    0.472    0.000 porter.py:277(_step1a)
   222373    0.196    0.000    0.438    0.000 porter.py:304(_step1b)
   125747    0.162    0.000    0.426    0.000 __init__.py:421(object_was_parsed)
   112963    0.069    0.000    0.341    0.000 __init__.py:539(handle_endtag)
    76991    0.244    0.000    0.333    0.000 __init__.py:158(_replace_cdata_list_attribute_values)
